Original Address,Error
"Historic District, 5450 Campus Dr, Canandaigua, NY 14424  ",County not found
"12200 Parc Crest Dr #200, Stafford, TX 77477  ",County not found
"Cass/Northgate, Downers Grove Township, IL 60561  ",County not found
"Floral Dr, Hyattsville, MD 20783  ",County not found
"PH33+H6 Nashua, NH  ",County not found
"545 Aldo Ave # 1, Santa Clara, CA 95054  ",County not found
"340 Storke Rd #101, Goleta, CA 93117  ",County not found
"22660 Executive Dr, Sterling, VA 20166  ",County not found
"5815 County Rd 34, Marcy, NY 13403  ",County not found
"4234 54th St, McClellan Park, CA 95652  ",County not found
"2007 Chestnut St, Alhambra, CA 91803  ",County not found
"Fluke Pond, 6920 Seaway Blvd, Everett, WA 98203  ",County not found
"3011 Malibu Canyon Rd Lot 6, Malibu, CA 90265  ",County not found
"23155 Kashiwa Ct, Torrance, CA 90505  ",County not found
"43670 Trade Center Pl, Sterling, VA 20166  ",County not found
"Rocket Way, Ballston Spa, NY 12020  ",County not found
"991 Aviation Pkwy #500, Morrisville, NC 27560  ",County not found
"251 Fowler Blvd, Kissimmee, FL 34744  ",County not found
"9999 Hamilton Blvd, Breinigsville, PA 18031  ",County not found
"5101-5175 Bolsa Ave, Huntington Beach, CA 92647  ",County not found
"5101-5175 Bolsa Ave, Huntington Beach, CA 92647  ",County not found
"5101-5175 Bolsa Ave, Huntington Beach, CA 92647  ",County not found
"2343 W Medtronic Way, Tempe, AZ 85281  ",County not found
"15 TW Alexander Dr, Durham, NC 27703  ",County not found
"2108 Bering Dr bldg b, San Jose, CA 95131  ",County not found
"Yahoo! Inc. Building 2, 5250 NE Elam Young Pkwy, Hillsboro, OR 97124  ",County not found
"Yahoo! Inc. Building 2, 5250 NE Elam Young Pkwy, Hillsboro, OR 97124  ",County not found
"Yahoo! Inc. Building 2, 5250 NE Elam Young Pkwy, Hillsboro, OR 97124  ",County not found
"Yahoo! Inc. Building 2, 5250 NE Elam Young Pkwy, Hillsboro, OR 97124  ",County not found
"Yahoo! Inc. Building 2, 5250 NE Elam Young Pkwy, Hillsboro, OR 97124  ",County not found
"Yahoo! Inc. Building 2, 5250 NE Elam Young Pkwy, Hillsboro, OR 97124  ",County not found
"119 Technology Dr, Bethlehem, PA 18015  ",County not found
"205 Import Cir NW, Huntsville, AL 35806  ",County not found
"C28H+J5 Tempe, AZ  ",County not found
"7923 Haskell Ave, Van Nuys, CA 91406  ",County not found
"Historic District, 10200 Nokesville Rd, Manassas, VA 20110  ",County not found
"Historic District, 10200 Nokesville Rd, Manassas, VA 20110  ",County not found
"1536 E 3500 N #300, Lehi, UT 84043  ",County not found
"1536 E 3500 N #300, Lehi, UT 84043  ",County not found
"Historic District, 10200 Nokesville Rd, Manassas, VA 20110  ",County not found
"7713, 333 14th St # 4, Toledo, OH 43604  ",County not found
"900 E Fayette St, Baltimore, MD 21233  ",County not found
"VJRF+V4 Redondo Beach, CA  ",County not found
"VJRF+V4 Redondo Beach, CA  ",County not found
"900 E Fayette St, Baltimore, MD 21233  ",County not found
"3501 1/2 Ed Bluestein Blvd, Austin, TX 78721  ",County not found
"1144-948 Crestwood Dr, Mountain Top, PA 18707  ",County not found
"2975 Scott Blvd #200, Santa Clara, CA 95054  ",County not found
"6183 Paseo Del Norte #150, Carlsbad, CA 92011  ",County not found
"10420 Harris Oaks Blvd # F, Charlotte, NC 28269  ",County not found
"63140 Britta St Suite D104, Bend, OR 97703  ",County not found
"2911 Zanker Rd #2901, San Jose, CA 95134  ",County not found
"85 Collamer Crossing Pkwy, East Syracuse, NY 13057  ",County not found
"5610 W Sand Lake Rd, Orlando, FL 32819  ",County not found
"1873, 1750 Automation Pkwy, San Jose, CA 95131  ",County not found
"93H8+JV San Jose, CA  ",County not found
"JMRG+WW South Portland, ME  ",County not found
"110 Castilian Dr #102, Goleta, CA 93117  ",County not found
"JG9X+57 Camas, WA  ",County not found
"14701 Firestone Blvd, La Mirada, CA 90638  ",County not found
"6500 Kaiser Dr #110, Fremont, CA 94555  ",County not found
"12500 Gladstone Ave, Sylmar, CA 91342  ",County not found
"12500 Gladstone Ave, Sylmar, CA 91342  ",County not found
"7801 Computer Ave, Minneapolis, MN 55435  ",County not found
"7801 Computer Ave, Minneapolis, MN 55435  ",County not found
"7801 Computer Ave, Minneapolis, MN 55435  ",County not found
"405 SW Columbia St, Bend, OR 97702  ",County not found
"405 SW Columbia St, Bend, OR 97702  ",County not found
"1981 Hall, Princeton, NJ 08540  ",County not found
"330 Carter Rd, Princeton, NJ 08540  ",County not found
"414 Grant St #401, Pittsburgh, PA 15219  ",County not found
"59 Schilling Cir, Hanscom AFB, MA 01731  ",County not found
"59 Schilling Cir, Hanscom AFB, MA 01731  ",County not found
"59 Schilling Cir, Hanscom AFB, MA 01731  ",County not found
"150 University Support Building I, State College, PA 16801  ",County not found
"First Street Towers on Mitch Daniels Blvd: BUS898, Wabash Township, IN 47906  ",County not found
